FORZZA|OREGON	4	1478748176905387:r:A,964209256307149:r:A,790902560692020:r:A,314275673466423:v:A
JAPANRACING|JR20	4	2289475228466194:r:B,2486362488501345:r:B,881256991570085:r:B,1405088784407158:r:B
JAPANRACING|JR9	4	1768618444337288:r:B,1569847164180286:r:B,1583028409805253:r:B,1193162800772973:v:A
2FORGE|ZF5	3	1020751940749414:r:A,1497469365031312:r:A,1802927077344536:r:A
3SDM|006	3	1589302842903319:r:A,8531877886835762:v:A,1262249607197625:v:A
AXE|EX18	3	1305158858229626:r:A,1257388144350438:v:A,900890663333523:v:A
CARBONADO|GIFT	3	1589764006092911:r:B,857254063910477:r:B,2732639317106326:r:B
DAWMAC|DM01	3	1074083585120661:r:B,1035249535709628:r:B,1513768246792436:r:B
FORZZA|GRAVITY	3	3053222491527989:r:A,2016552989312303:r:A,1140775133702050:v:A
ISPIRI|FFR1	3	1275990827409955:r:A,295958535985649:v:A,371865076839117:v:A
ISPIRI|FFR6	3	1495568365229352:r:A,188869603100359:v:A,2445826225742916:v:A
JAPANRACING|JR37	3	1458454739419614:r:B,1390045569519624:r:B,284418619204396:v:B
?|5315	2	1496823738759486:r:C,1724484898529118:r:C
?|XE244	2	1748569726285606:r:C,1510211964098582:r:C
AXE|EX11	2	1035946493161272:v:A,862606680495255:v:A
AXE|EX15	2	1171935249562395:v:A,928104780612111:v:A
AXE|EX50	2	1375635871334625:r:A,1321762993014373:r:A
BREYTON|HIBONIT	2	1289478122564435:r:A,889546640619995:r:A
CADES|LINIAR	2	629422183094676:v:A,1061869948943440:v:A
CARBONADO|FANCY	2	1024145730540738:r:B,1649707149438384:r:B
CARBONADO|PRESTIGE	2	1342735878003251:r:A,2054710251746953:r:A
DARE|LM	2	1302315897562075:v:A,937457569676832:v:A
DARE|RS	2	1304945386261380:v:A,1263255973763655:v:A
DAWMAC|DM07	2	2103963440170010:r:A,7534898976555073:v:B
DAWMAC|DMC06	2	1370837301193525:r:B,969610992540712:r:B
FERRADAWHEELS|FR4	2	1632610370161545:v:D,1330980763657842:v:D
FORZZA|FLAMBER	2	872453252291030:r:A,1057834013669448:r:A
FORZZA|SIGMA	2	843407492053499:r:A,550479859313643:v:A
FUEL|CONTRA	2	1076172611498389:r:A,1600247441727850:r:A
FUEL|VAPOR	2	2862233290801538:r:B,1631365821530674:r:A
HAXER|HX042	2	2113569976194432:r:A,1916146255719330:r:A
ISPIRI|FFR5	2	1649271866328013:r:B,1259361974153055:v:A
JAPANRACING|JR11	2	1272533878371324:r:B,2418803791918081:r:B
JAPANRACING|JR3	2	1777668783546866:r:B,1585346319234211:r:B
JAPANRACING|JR44	2	1354487550219395:r:B,752135711232704:r:A
JAPANRACING|SL01	2	4586310468360196:r:B,254341370736655:v:A
JUDD|JSF9	2	997530972128108:v:B,1228539218296912:v:B
OEMS|IND	2	1265897230166196:v:A,1193932930695960:v:A
SCHMIDT|THLINE	2	749084596880782:v:A,1026958700726718:v:A
SEVENTY9|SCFH	2	1890155131647722:r:A,1905228626748747:r:A
SEVENTY9|SVC	2	2818775738503923:r:A,4422895357982965:r:A
YOTA|YP1	2	1173172878313807:r:B,1391114232710542:r:B
YOTA|YP5	2	2203585120181014:r:A,713427016510472:v:B
ZITO|ZS05	2	1258581284231124:v:A,1000379773384611:v:A
?|273	1	1354892253183525:r:C
?|379	1	1343217350788083:r:C
?|5852	1	2465221260569640:r:C
?|6870	1	1621538839080481:r:C
?|B0216	1	846371401671983:r:D
?|BZ7040	1	1554383052281612:r:D
?|BZ9007	1	1571223830576195:r:C
?|DY719	1	173333017653904:v:C
?|EMR156	1	2820570451532526:v:C
?|F101	1	347170106237175:v:C
?|LCF34	1	1088753275473870:v:C
1AV|ZX1	1	1207892949299958:v:B
2FORGE|ZF1	1	1310229924151154:r:A
2FORGE|ZF8	1	1475964687883604:r:A
2FORGE|ZF9	1	2196533277783192:r:A
3SDM|066	1	1471462762942974:v:A
ACWHEELS|FF064	1	1432507685372812:r:B
AGT|18259	1	27883197464631371:r:A
ARCEO|D1	1	1638549646328317:v:B
ARCEO|MONACO	1	3178022659121296:v:A
ARCEO|PRETORIA	1	396078094896697:v:B
ARCEO|THREE	1	2250325569066174:r:B
AXE|CF2	1	302887821495693:v:A
AXE|EX16	1	1073570399398881:v:A
AXE|EX19	1	858809717541618:v:A
BLACKRHINO|ARSENAL	1	1782519085997810:r:A
BOLA|FLK	1	1535690771056606:r:A
BREYTON|MAGICCW	1	1140360114509312:v:A
BREYTON|RACELS3	1	856451450087262:r:A
CADES|STRIKE	1	1188829924539594:v:A
CARBONADO|CONCAVE	1	1080886471121892:r:D
CARBONADO|HELIX	1	1649226186213843:r:B
CARBONADO|HURRICANE	1	935896925879492:r:A
CONCAVER|CVR7	1	1506220151154680:r:B
CONCAVER|CVR8	1	1282268157107868:r:B
DARE|F5	1	1014705274628462:r:A
DARE|GHOST	1	1203944176361502:v:A
DAWMAC|DM04	1	449390737410606:v:B
DAWMAC|DM05	1	1070446490837465:v:B
DAWMAC|DM192	1	1821967135830408:r:B
DAWMAC|DM24	1	1758394098037429:v:B
DAWMAC|DMC03	1	1057964302158794:v:B
FMETAL|KARI	1	8714291531969528:v:B
FORZZA|BOSAN	1	1245200354334396:r:A
FORZZA|ETERNITY	1	1327651056231283:r:A
FORZZA|SPOT	1	1193661859570510:r:A
FUEL|BURN	1	1548788680336351:r:B
FUEL|CHARGER	1	1580316520055989:r:A
FUEL|COVERT	1	2297604663942736:v:A
HAXER|HX020	1	3793422714128538:r:A
HAXER|HX06	1	4353689681583128:r:A
